Count,REP_ID,REP_PLOT,SERIES_NUM,COUNTRY_CODE,BROAD_HABITAT,loi,year,DOM_GRAIN,SOIL_GROUP,CACO3_RANK,northing,easting,latitude,longitude,time,LandCover,precip
89,1034X2,1034RPT12,1034,SCO,10,28.5771904,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817571.5,327199.6563,57.24302965,-3.20791724,2007,13,1443
90,1034X3,1034RPT13,1034,SCO,10,31.65249062,2007,SILT,ALL,NONE,817509.6875,327849.625,57.24257759,-3.197132165,2007,13,1443
91,1034X4,1034RPT14,1034,SCO,12,98.51847076,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817172.3125,327773.1563,57.23953557,-3.19830057,2007,13,1443
92,1034X5,1034RPT15,1034,SCO,12,96.94190979,2007,SILT,ALL,NONE,817093.875,327092.4375,57.23872307,-3.209552843,2007,13,1443
93,1038X1,1038RPT10,1038,SCO,6,1.697708964,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817505.25,387551.5,57.24806971,-2.207930237,2007,5,1017
94,1038X1,1038RPT10,1038,SCO,6,9,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817505.25,387551.5,57.24806971,-2.207930237,1978,5,1017
95,1038X3,1038RPT12,1038,SCO,5,7.934635162,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817297.75,387720.1563,57.24621073,-2.205124953,2007,4,1017
96,1038X3,1038RPT12,1038,SCO,5,10,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817297.75,387720.1563,57.24621073,-2.205124953,1978,4,1017
97,1038X4,1038RPT13,1038,SCO,5,8.021556854,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817377.375,387434.6875,57.24691808,-2.20985926,1998,4,1017
98,1038X4,1038RPT13,1038,SCO,5,8.363060951,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817377.375,387434.6875,57.24691808,-2.20985926,2007,4,1017
99,1038X4,1038RPT13,1038,SCO,5,7,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817377.375,387434.6875,57.24691808,-2.20985926,1978,4,1017
100,1038X5,1038RPT14,1038,SCO,5,7,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817793.875,387183.6563,57.25065239,-2.214040766,1978,4,1017
101,1038X5,1038RPT14,1038,SCO,5,6.780538082,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817793.875,387183.6563,57.25065239,-2.214040766,1998,4,1017
102,1038X5,1038RPT14,1038,SCO,5,7.029754162,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,817793.875,387183.6563,57.25065239,-2.214040766,2007,4,1017
103,1039X1,1039RPT20,1039,SCO,4,3.929354906,1998,UNKN,MEDIUM TO HEAVY,VARIABLE(LOW),818802.9375,397238.8438,57.25989032,-2.047412189,1998,3,914
104,1039X1,1039RPT20,1039,SCO,4,5.800806999,2007,UNKN,MEDIUM TO HEAVY,VARIABLE(LOW),818802.9375,397238.8438,57.25989032,-2.047412189,2007,3,914
105,1039X2,1039RPT21,1039,SCO,5,2.380470037,1998,SAND,LIGHT TO MEDIUM,NONE,818852.75,397539.3125,57.26033956,-2.042431937,1998,4,914
106,1039X2,1039RPT21,1039,SCO,5,3.197340012,2007,SAND,LIGHT TO MEDIUM,NONE,818852.75,397539.3125,57.26033956,-2.042431937,2007,4,914
107,1039X3,1039RPT22,1039,SCO,4,6.936891079,1998,UNKN,LIGHT(SANDY),VARIABLE(LOW),818389.5625,397173.4688,57.25617661,-2.048490992,1998,3,914
108,1039X3,1039RPT22,1039,SCO,4,5.577619076,2007,UNKN,LIGHT(SANDY),VARIABLE(LOW),818389.5625,397173.4688,57.25617661,-2.048490992,2007,3,914
109,1039X4,1039RPT23,1039,SCO,1,6.505033016,2007,SAND,LIGHT TO MEDIUM,NONE,818103.75,397548.4688,57.25361146,-2.04227239,2007,4,914
110,1039X4,1039RPT23,1039,SCO,1,8.159081459,1998,SAND,LIGHT TO MEDIUM,NONE,818103.75,397548.4688,57.25361146,-2.04227239,1998,4,914
111,1039X5,1039RPT24,1039,SCO,6,3.301126957,1998,SAND,LIGHT TO MEDIUM,NONE,818233,397818.125,57.25477393,-2.03780434,1998,18,914
112,1039X5,1039RPT24,1039,SCO,6,2.50968647,2007,SAND,LIGHT TO MEDIUM,NONE,818233,397818.125,57.25477393,-2.03780434,2007,18,914
113,1041X1,1041RPT20,1041,SCO,12,97.55979156,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834962.125,86283.35938,57.2970703,-7.210272776,1998,12,1641
114,1041X1,1041RPT10,1041,SCO,12,95,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834962.125,86283.35938,57.2970703,-7.210272776,1978,12,1641
115,1041X1,1041RPT10,1041,SCO,12,95.32541656,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834962.125,86283.35938,57.2970703,-7.210272776,2007,12,1641
116,1041X2,1041RPT11,1041,SCO,12,95,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834782.25,86674.82813,57.29572975,-7.203575962,1978,11,1641
117,1041X2,1041RPT11,1041,SCO,12,96.8065033,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834782.25,86674.82813,57.29572975,-7.203575962,1998,11,1641
118,1041X2,1041RPT11,1041,SCO,12,96.24852753,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834782.25,86674.82813,57.29572975,-7.203575962,2007,11,1641
119,1041X3,1041RPT12,1041,SCO,12,94,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834416.375,86255.80469,57.29216929,-7.210036097,1978,11,1641
120,1041X3,1041RPT21,1041,SCO,12,97.24861908,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834416.375,86255.80469,57.29216929,-7.210036097,1998,11,1641
121,1041X3,1041RPT12,1041,SCO,12,96.49408722,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834416.375,86255.80469,57.29216929,-7.210036097,2007,11,1641
122,1041X4,1041RPT13,1041,SCO,12,96.096138,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834214.125,86637.50781,57.29062186,-7.203473226,2007,11,1641
123,1041X4,1041RPT13,1041,SCO,12,96,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834214.125,86637.50781,57.29062186,-7.203473226,1978,11,1641
124,1041X4,1041RPT13,1041,SCO,12,96.26907349,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834214.125,86637.50781,57.29062186,-7.203473226,1998,11,1641
125,1041X5,1041RPT14,1041,SCO,12,47,1978,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834688.25,86420.36719,57.29471433,-7.207661618,1978,11,1641
126,1041X5,1041RPT14,1041,SCO,12,32.56261826,2007,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834688.25,86420.36719,57.29471433,-7.207661618,2007,11,1641
127,1041X5,1041RPT14,1041,SCO,12,66.53404999,1998,SAND,LIGHT(SANDY) TO MEDIUM(SANDY),NONE,834688.25,86420.36719,57.29471433,-7.207661618,1998,11,1641
128,1043X1,1043RPT25,1043,SCO,2,96.00739288,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832883.25,147216.6094,57.31624697,-6.199940945,2007,12,2912
129,1043X1,1043RPT43,1043,SCO,2,97.47689056,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832883.25,147216.6094,57.31624697,-6.199940945,1998,12,2912
130,1043X1,1043RPT25,1043,SCO,2,95,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832883.25,147216.6094,57.31624697,-6.199940945,1978,12,2912
131,1043X2,1043RPT26,1043,SCO,2,91,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832804,147682.2969,57.31579463,-6.192149309,1978,2,2912
132,1043X2,1043RPT26,1043,SCO,2,38.02943039,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832804,147682.2969,57.31579463,-6.192149309,1998,2,2912
133,1043X2,1043RPT26,1043,SCO,2,36.31760025,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832804,147682.2969,57.31579463,-6.192149309,2007,2,2912
134,1043X3,1043RPT44,1043,SCO,12,93.94743347,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832344.4375,147227.3125,57.31142588,-6.199212396,1998,12,2912
135,1043X3,1043RPT27,1043,SCO,12,96,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832344.4375,147227.3125,57.31142588,-6.199212396,1978,12,2912
136,1043X4,1043RPT28,1043,SCO,2,81.27269745,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832173.0625,147622.0469,57.31010894,-6.192502345,1998,2,2912
137,1043X4,1043RPT28,1043,SCO,2,50,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832173.0625,147622.0469,57.31010894,-6.192502345,1978,2,2912
138,1043X4,1043RPT28,1043,SCO,2,94.59848785,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832173.0625,147622.0469,57.31010894,-6.192502345,2007,2,2912
139,1043X5,1043RPT29,1043,SCO,2,88.77178955,2007,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832339.8125,147891.5469,57.31175169,-6.188210934,2007,2,2912
140,1043X5,1043RPT29,1043,SCO,2,57,1978,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832339.8125,147891.5469,57.31175169,-6.188210934,1978,2,2912
141,1043X5,1043RPT29,1043,SCO,2,95.17928314,1998,UNKN,LIGHT(SANDY) TO MEDIUM(SANDY),LOW,832339.8125,147891.5469,57.31175169,-6.188210934,1998,2,2912
142,1044X1,1044RPT12,1044,SCO,12,93,1978,UNKN,LIGHT TO MEDIUM,NONE,832851.5,160197.2344,57.32296705,-5.984934229,1978,21,2041
